	734.6	OPEN LONG	none	muted
2026-05-24T08:33:54.734Z	756.TP1	TICK-PAIR CLOSE	0.9760 → tick 0.9760	info
2026-05-24T08:33:54.734Z	756.TP2	OSC RESET	c4 0.9760 ≠ P1b 0.9770 → restart	muted
2026-05-24T08:33:54.735Z	756.9	OSC COUNTER	0/3 · step=1/6	muted
2026-05-24T08:33:54.735Z	756.10	WAITING FOR BAND	A-B-A-B-A-B · step 1/6 · counter=0/3	muted
2026-05-24T08:33:54.738Z	756.ADJ	NEXT POLL	20s · mode=DETECT	muted
2026-05-24T08:34:14.742Z	757.1	POLL START	fetching 4 candles	muted
2026-05-24T08:34:15.311Z	757.2	CANDLES	30 in window · fetched 4	ok
2026-05-24T08:34:15.312Z	757.3	LAST CLOSE	0.9750	info
2026-05-24T08:34:15.313Z	757.4	TICK SIZE	0.001000	info
2026-05-24T08:34:15.314Z	757.5	inOsc / dir	false / LONG	muted
2026-05-24T08:34:15.314Z	757.6	OPEN LONG	none	muted
2026-05-24T08:34:15.315Z	757.7	OPEN SHORT	none	muted
2026-05-24T08:34:15.315Z	757.8	CANDLE	NEW — processing tick-pair	ok
2026-05-24T08:34:15.316Z	757.TP1	TICK-PAIR CLOSE	0.9750 → tick 0.9750	info
2026-05-24T08:34:15.316Z	757.TP2	OSC 1/6	P1a=0.9750 — waiting for P1b	muted
2026-05-24T08:34:15.317Z	757.9	OSC COUNTER	0/3 · step=2/6 P1a=0.9750	muted
2026-05-24T08:34:15.317Z	757.10	WAITING FOR BAND	A-B-A-B-A-B · step 2/6 · counter=0/3	muted
2026-05-24T08:34:15.320Z	757.ADJ	NEXT POLL	20s · mode=DETECT	muted
2026-05-24T08:34:35.324Z	758.1	POLL START	fetching 4 candles	muted
2026-05-24T08:34:35.896Z	758.2	CANDLES	30 in window · fetched 4	ok
2026-05-24T08:34:35.898Z	758.3	LAST CLOSE	0.9760	info
2026-05-24T08:34:35.898Z	758.4	TICK SIZE	0.001000	info
2026-05-24T08:34:35.899Z	758.5	inOsc / dir	false / LONG	muted
